([C][H]3)2[C][H][S][H] = ([C][H]3)2[C][H][S]- + [H]+ ; log_k -10.86 ; #propane-2-thiolate-(aq)
([C][H]3)3[C][S][H] = ([C][H]3)3[C][S]- + [H]+ ; log_k -11.22 ; #2-methylpropane-2-thiolate-(aq)
[C]6[H]5[S][H] = [C]6[H]5[S]- + [H]+ ; log_k -6.615 ; #thiophenolate-(aq)
[C]10[H]7[S][H] = [C]10[H]7[S]- + [H]+ ; log_k -6.343 ; #naphthalene-1-thiolate-(aq)
[C]10[H]7[S][H] = [C]10[H]7[S]- + [H]+ ; log_k -6.472 ; #naphthalene-2-thiolate-(aq)
[H]3[C][S][O]3[H] = [H]3[C][S][O]3- + [H]+ ; log_k -1.92 ; #methanesulfonate-(aq)
[H]3[C][C][H]2[S][O]3[H] = [H]3[C][C][H]2[S][O]3- + [H]+ ; log_k -1.68 ; #ethanesulfonate-(aq)
[H]3[C]([C][H]2)2[S][O]3[H] = [H]3[C]([C][H]2)2[S][O]3- + [H]+ ; log_k -1.53 ; #propanesulfonate-(aq)
[C]5[H]5[N] + [H]+ = [C]5[H]5[N][H]+ ; log_k 5.20 ; #pyridinium+(aq)
[C]9[H]7[N] + [H]+ = [C]9[H]7[N][H]+ ; log_k 4.81 ; #quinolinium+(aq)
[C]9[H]7[N] + [H]+ = [C]9[H]7[N][H]+ ; log_k 5.54 ; #isoquinolinium+(aq)
